subjectID,groupTrans_conj,groupTrans_summ,groupNumFix_conj,groupNumFix_summ,groupDurFix_conj,groupDurFix_summ,Dur_conj_Att1,Dur_conj_Att2,Dur_conj_NoAtt,Dur_conj_Symm,Dur_summ_Att1,Dur_summ_Att2,Dur_summ_NoAtt,Dur_summ_Symm
23,1.82222222222222,1.80952380952381,5.64583333333333,4.39583333333333,313.767142857143,473.689682539682,627.022222222222,895.2,327.2,0.633915802748471,1332.71428571429,697.238095238095,29.8095238095238,0.604531753657775
24,2.9375,3.04166666666667,5.875,6.39583333333333,373.010548941799,342.219857804233,1356.125,586.916666666667,96.7083333333333,0.572470740321833,1191.58333333333,850.916666666667,69.2916666666667,0.678073778888856
25,1.95652173913043,2.21276595744681,4.9375,5.45833333333333,431.165182884748,381.386626139818,556.869565217391,1311.21739130435,102.304347826087,0.489090709533266,960.893617021277,1010.76595744681,76.0425531914894,0.665473138341918
27,3.16666666666667,2.63829787234043,7.3125,7.27083333333333,335.49880501443,317.921640652492,1157.375,917,135.916666666667,0.710140613331244,1022.89361702128,1029.31914893617,158.936170212766,0.654034001055263
28,1.61764705882353,1.02702702702703,3.10416666666667,3.02083333333333,467.130392156863,546.269069069069,758.352941176471,744.176470588235,261.764705882353,0.549817547177303,550.540540540541,1298.75675675676,74.2162162162162,0.420574610548205
30,3.70833333333333,1.625,6.35416666666667,4.64583333333333,344.751388888889,510.833928571429,915.291666666667,1064.33333333333,161.833333333333,0.754743585115309,991.125,897.708333333333,252.625,0.700796171320879
101,1.34042553191489,0.833333333333333,7.10416666666667,5.625,221.39320868257,321.133259680135,313.957446808511,601.659574468085,660.893617021277,0.393226830360702,574,303.166666666667,737.416666666667,0.298388005367967
103,2.79166666666667,1.93617021276596,5.5,4.29166666666667,421.366964285714,544.113221884498,1104.29166666667,740.125,187.875,0.660346033257026,1084.76595744681,695.36170212766,344.255319148936,0.537039570096405
105,0.548387096774194,0.8,6.9375,5.64583333333333,218.075907510712,373.939681906787,279.548387096774,358.709677419355,773.612903225806,0.413225228554818,578.066666666667,517.933333333333,398.533333333333,0.460081699610069
106,2.48888888888889,2.93617021276596,5.66666666666667,6.70833333333333,385.885648548982,271.822988241073,892.8,667.2,282.266666666667,0.633230427275013,1064,511.531914893617,241.234042553192,0.580242928325526
109,2.125,1.72916666666667,7.5,5.52083333333333,281.150338203463,392.496469155844,551.75,700.875,736.833333333333,0.709416162225561,886.208333333333,915.041666666667,198.166666666667,0.794321038635474
110,1.64583333333333,1.53191489361702,6.33333333333333,6.29166666666667,316.049503968254,336.160925363053,505.958333333333,838.708333333333,571.75,0.517468034136651,757.787234042553,688.595744680851,576.042553191489,0.639449696903686
111,2.5,1.10416666666667,5.95833333333333,3.85416666666667,353.5072255291,489.941418650794,847.125,746.166666666667,311.041666666667,0.593571766662489,781.708333333333,497.166666666667,433.833333333333,0.429274430820837
112,2.21739130434783,1.43478260869565,5.5625,5.22916666666667,310.75533126294,360.233695652174,716.391304347826,833,233.739130434783,0.713733191577262,572.608695652174,1032.34782608696,262.217391304348,0.529461852432457
113,3.45833333333333,2.1875,7.08333333333333,4.10416666666667,320.56421957672,632.014682539683,694.375,1059.20833333333,481.458333333333,0.70055868710561,1084.45833333333,1121.625,68.25,0.750989843152364
114,0.212765957446809,0.25,4.375,4.41666666666667,362.570584262074,459.707010582011,753.617021276596,142.212765957447,370.382978723404,0.117770043568808,126.333333333333,929,389.958333333333,0.10108323615864
115,1.16666666666667,0.828571428571429,1.47916666666667,3,139.90057319224,161.830841063698,355.666666666667,244.111111111111,192.777777777778,0.426921264848903,376.057142857143,192.342857142857,195.542857142857,0.391216592091896
116,2.0625,2.80434782608696,5.0625,5.47916666666667,353.631051587302,365.384489302967,956.875,408.083333333333,187.375,0.562031249442394,967.304347826087,919.652173913043,92.9130434782609,0.669363482685382
118,3.85416666666667,2.6875,6.29166666666667,6.10416666666667,361.535416666667,371.698396164021,977.041666666667,1020.95833333333,95.2083333333333,0.737795669726938,973.375,861.541666666667,258.5,0.697763635588617
119,0.883720930232558,0.260869565217391,5.95833333333333,6.39583333333333,272.888381773266,354.796563581346,234.046511627907,430,1022.74418604651,0.485707033877279,381.173913043478,181.565217391304,1182.82608695652,0.350013316785732
120,0.91304347826087,1.48837209302326,3.5625,4.10416666666667,455.934782608696,392.8211517165,723,446.782608695652,277.913043478261,0.330663878792795,571.023255813953,672.511627906977,407.627906976744,0.677500914325261
121,3.125,1.75,5.95833333333333,4.79166666666667,378.904166666667,480.365376984127,1055.875,1016.04166666667,60.5833333333333,0.747366102423364,1182.91666666667,875.583333333333,105.125,0.641054606164342
122,2.29166666666667,2.45833333333333,6.14583333333333,6.66666666666667,315.092228835979,300.673578042328,790.333333333333,780.041666666667,281,0.750968468239697,676.791666666667,949.958333333333,307.541666666667,0.701643709816376
123,1.93023255813953,1.26086956521739,4.02083333333333,4.0625,397.703285345146,459.825931677019,509.720930232558,799.023255813953,186.186046511628,0.520617717408736,794.434782608696,351.217391304348,363.130434782609,0.450371548110308
125,2.70731707317073,1.54347826086957,4.97916666666667,5.04166666666667,359.830139372822,408.372049689441,1006.19512195122,692.585365853659,350.243902439024,0.713580746748391,1394.5652173913,400.95652173913,243.739130434783,0.428071628900126
201,0.795454545454545,0.266666666666667,6.39583333333333,6.08333333333333,219.179761904762,268.308130511464,337.136363636364,175.545454545455,1027.59090909091,0.442381427184646,144.133333333333,511.911111111111,891.555555555556,0.174388982339467
202,2.93478260869565,2.1875,5.14583333333333,5.4375,401.180745341615,397.625099206349,1330.30434782609,652.95652173913,77.0434782608696,0.624080258950886,841.708333333333,1104.25,106.833333333333,0.712012050673869
203,2.06666666666667,2.64705882352941,1.77083333333333,2.27083333333333,174.974814814815,207.710105254223,590.933333333333,305.466666666667,43.7333333333333,0.438958433106059,648.352941176471,568.117647058824,43.8823529411765,0.75985825028628
204,1.97872340425532,2.14893617021277,5.27083333333333,5.20833333333333,351.915400202634,398.047315096251,951.191489361702,602.340425531915,251.148936170213,0.578715903529674,1061.02127659574,934.510638297872,49.6170212765957,0.693724473925322
205,2.66666666666667,1.89583333333333,6.77083333333333,6.0625,279.029431216931,316.241654641655,675.958333333333,747.583333333333,345.166666666667,0.730790826575989,943.25,572.916666666667,274.666666666667,0.638311222879145
206,0.869565217391304,0.227272727272727,4.39583333333333,5.20833333333333,357.979399585921,322.557323232323,253.217391304348,899.217391304348,381.391304347826,0.390671817124175,50.5454545454545,786.681818181818,946.636363636364,0.0895452880410022
207,1.83333333333333,1.35416666666667,4.89583333333333,3.5625,478.903918650794,591.828670634921,894.166666666667,946.666666666667,149.958333333333,0.675445444207927,1044.70833333333,815.125,40.7916666666667,0.640225601929982
208,1.83333333333333,2.4375,4.52083333333333,5.20833333333333,478.740277777778,424.593270502645,1108.5,818.375,69.8333333333333,0.639584367447098,1323.08333333333,632.25,85.75,0.620059883700794
