SubjectIDs,learnRtSumm_block_1to5_1,learnRtSumm_block_1to5_2,learnRtSumm_block_1to5_3,learnRtSumm_block_1to5_4,learnRtSumm_block_1to5_5,learnRtConj_block_1to5_1,learnRtConj_block_1to5_2,learnRtConj_block_1to5_3,learnRtConj_block_1to5_4,learnRtConj_block_1to5_5
23,2455.67123580556,2179.84466219443,2013.74099530555,2147.00078930557,2147.00078930557,5010.41778277778,5011.71567194443,5011.86559941667,5011.62224494445,3084.45055088887
24,2065.42427169448,1863.23583513889,1928.21198244441,1859.04499105557,1859.04499105557,3524.20656544448,3153.79631025001,2679.54478161119,2580.97992580557,2363.05311511119
25,1861.99063563911,1639.19997213902,1633.73488924996,1481.88370177766,1481.88370177766,2699.1120858333,2048.21332113902,1872.9760415002,2320.05406202789,2221.65724199997
27,2369.00207508208,2093.43032583436,2155.80732127677,2096.34799808231,2096.34799808231,3034.98375613991,3160.81944891549,3054.25486802778,2982.72843169535,3055.92143964127
28,1721.83065013895,1492.3276511367,1358.29651844607,1531.73854055947,1531.73854055947,2549.06109833165,2540.49914997369,2343.26613442277,1946.42769888661,2268.4365668368
30,2179.90502302402,2096.77076988818,2074.18209652597,1932.66629116584,1932.66629116584,5012.07754252715,4289.76560619453,3062.59698397399,2871.75794400132,2697.32349833632
101,2453.60544246311,2201.37164462358,2207.45439330737,2035.94435849744,2195.38118421204,3351.72624210827,3420.10317103834,3123.30221448145,3613.75274443223,2956.91843328273
102,1979.30643091806,1803.67425829172,1777.80443740388,1725.23496501769,1721.36888280511,4226.81161797502,3911.50181153272,3703.31718964088,3626.12282282983,3073.56370255972
103,1850.07035080343,1645.9281784741,1654.7021880332,1565.57480884819,1458.91443753822,2799.81274292287,2534.07390868395,2182.88877526195,2325.28535284412,2213.8522967127
105,2416.37933036933,2256.32802259901,2170.94719127959,2116.87325986309,1916.89313161704,3777.91552822519,3307.47917454897,3048.19557520871,3494.60476098789,3227.68642186808
107,2920.45925513634,2640.83076542657,2552.19960109227,2491.06363983204,2110.07187996681,5010.79768984992,5012.00287670104,5012.08983271176,5012.03659932233,5012.07022593978
108,3346.4998598065,2052.01853439091,2373.43164136271,1975.76916519433,2032.193433917,5012.43648408207,5012.42581127897,5012.44702547249,5012.37902674984,5012.35962961194
109,2293.35236619227,1625.45951556725,1612.39790091188,1455.17886649921,1707.35121717573,5010.67330538192,4980.62270217472,5012.27741735056,5012.1315810312,5012.17420132727
111,2531.16382826637,2901.98883991171,2396.62797813718,2545.47996280922,2305.46427580218,5010.53792227887,5012.18228544005,5012.05565102605,5011.98838617549,5011.9561071042
112,2224.07171047396,2561.51379937203,2507.64949384352,2617.66574358464,2100.02442219088,2951.94033574727,3073.01965363634,2981.21146283423,2955.20770650667,2708.04629467117
113,2064.16810823915,1674.13503037662,1654.16466530102,1542.49297268689,1534.45358173404,3732.44795195448,3180.81206313541,2834.56459199078,2634.86781641324,2434.73488335601
114,1884.3854810855,1741.84738796288,1814.28263211112,1696.98032235546,1680.21004778469,3201.44605728112,2611.61406962977,2592.43004330266,2176.33196344347,2141.83469016765
115,3139.82443513911,2666.8905949676,2258.87821724852,2387.45708292279,2950.33646464031,5010.52402005492,5012.03118866639,5011.98018813577,5011.84374957746,4918.35213119662
116,2224.70726327608,2196.9050805605,2495.55099427461,2160.12189933584,2329.41988302142,2959.45227552794,2798.40410252089,2497.81445866716,2694.15345472387,2865.14945816857
118,2418.58486242159,1665.59282536198,1751.7962994995,1846.14030730639,1764.06681263405,3134.10443157934,3225.68101352792,2739.49436124854,2445.78361680356,3107.21059466757
119,2655.8386237464,2365.13584735803,2254.96023168994,2235.86135179115,2199.34795644238,5010.54897593955,5012.102683825,5012.00958030919,5011.97528376037,5011.90672589776
120,2180.13843891418,1721.70731857962,1671.88917807329,1738.74640147874,1504.59152413856,3317.0961516282,2869.81940789459,2323.84309564562,2058.52012352423,2204.24543394539
121,2445.19928051159,2194.84949052437,2175.77184454745,1982.88912734845,1721.92853495168,5011.02445978257,5012.05899142143,5001.04142270154,4747.91694287625,4796.56113262495
122,2115.20324898366,2007.97616245432,1813.89036707373,1919.22551740168,1719.37667495675,3971.87431780104,3586.65253654019,3124.01837457178,3141.53128238912,3078.94364390005
123,2144.55331407306,1942.4277759584,1673.17973601813,1925.61960813408,2087.44906092761,3365.31854687362,3180.87010166427,2705.7807325683,2567.29306967463,2713.40557902456
125,1597.94431073695,1316.03692428002,1237.7702658996,987.499854786115,1184.40673037225,3351.26250607169,2902.73040023425,2913.9138986874,2952.70421053283,2983.39998533225
201,2645.90511216213,1835.88340020894,2094.51435546442,1864.17701373446,2000.74830268406,3083.04023914712,3139.48437240389,2736.68559934271,3019.44129004712,3120.35609275982
202,2896.65283512376,1925.48527322813,2023.37301236629,2240.50271934054,2252.49815560205,3188.95153650859,2790.60043025917,2923.44600227403,3339.31644500181,2769.95267442221
203,3009.78395153329,2794.00729059449,2648.8179782302,2494.56987611484,2235.4117934204,2225.61964665591,3382.29589767676,3200.7640153493,3048.96373066327,2733.97877375828
205,1850.62716498376,1480.46265973244,1633.03197746993,1740.86368307083,1552.38057676858,1299.64986431231,1621.02660058816,1971.67823939041,1610.72268515515,1599.51513856908
206,3795.31517119095,3235.39871514852,3218.12789292825,2922.65674469915,2859.64900820464,2668.15779673117,2638.75785823782,2624.35192193758,2960.88188427449,2511.08396286145
207,2610.07014522329,2238.73720816725,2260.96244825749,2166.87038880385,1933.86778320807,2512.03642881915,2145.76852847434,2692.83521988352,2863.18448768644,2674.27785207595
208,2635.80199263783,2054.21876480492,1846.18644685381,1683.97700571869,1724.89013238293,3243.99708706834,3225.29029174863,2536.8633713806,2441.25307281502,2344.62465257901
