SubjectID,conjMeanAccuracy,summMeanAccuracy,conjStdAccuracy,summStdAccuracy
309,2.17708333333333,1.55729166666667,4.63765758846009,1.62366113693364
311,4.39583333333333,6.234375,8.1641785904485,10.8007099660752
402,1.375,1.66145833333333,1.07312429134786,1.13864605970898
403,2.22395833333333,2.19791666666667,2.45720801566931,5.2957626410513
405,3.21354166666667,1.88541666666667,9.99627451658831,3.02426284904964
406,3.76041666666667,2.34375,8.40781651477358,2.72284709019727
407,2.67708333333333,3.30729166666667,3.31460273819605,6.09940692602902
408,6.40625,1.94791666666667,8.34409987114095,2.13939637373995
410,1.265625,1.671875,1.06741665926108,1.15449658597212
411,1.64583333333333,1.84895833333333,1.27144721250408,1.81508131179838
412,1.86979166666667,1.91145833333333,3.12292040733788,2.28808755001307
413,3.09375,2.71875,7.21269289723244,5.49555550596561
414,1.68229166666667,1.92708333333333,1.17683715965915,1.63485825832783
415,1.48958333333333,2.38541666666667,2.83638889265111,3.6151124630594
417,0.869791666666667,1.31770833333333,0.605799944449515,2.82406997651784
418,1.06770833333333,1.20833333333333,1.06408934112062,0.700177282515189
419,2.73958333333333,1.71875,3.40484570733831,2.09141164278448
421,2.64583333333333,1.546875,7.12256552909919,1.38538750435899
422,1.33854166666667,1.21354166666667,1.13161716250783,0.938238479830933
428,1.55208333333333,0.932291666666667,4.27634461040622,0.665925174965238
429,1.93229166666667,1.796875,3.76883199897857,2.21434890891782
430,2.63541666666667,1.79166666666667,4.20895648781406,2.79833410422438
431,2.44270833333333,3.35416666666667,3.73960957091884,8.26486947119472
432,9.71354166666667,5.02083333333333,13.71509007263,8.69593224379379
433,1.44791666666667,1.17708333333333,1.16801150958577,0.932507391638797
434,1.734375,2.03645833333333,1.53626918387343,2.06991467558071
435,3.11979166666667,2.06770833333333,4.95887062021325,3.63227977152814
436,1.03645833333333,0.921875,0.795582189031118,0.579242558423811
437,2.29166666666667,2.28645833333333,3.04240130057803,2.00265089168622
438,2.66666666666667,3.40104166666667,5.96807404456567,6.08008162024699
439,1.61979166666667,2.828125,1.15315199784844,3.47565861277445
440,2.28125,2.375,3.25536586498255,2.12382633420728
441,3.30729166666667,1.97916666666667,6.35250821282205,5.08827221995808
444,1.75,1.875,1.77751918923119,2.17578550256947
445,3.24479166666667,1.9375,9.12552673841604,1.81710255685464
446,1.33333333333333,1.51041666666667,0.961123751266312,1.06561131857235
447,4.58854166666667,3.8125,8.90470972434378,5.54131004558278
448,1.59375,1.52083333333333,0.995501851414759,1.03506775054919
449,3.17708333333333,2.08333333333333,6.41846536915449,1.69191863057367
450,1.83854166666667,2.171875,1.28565074107013,2.35152522369197
452,4.94791666666667,2.45833333333333,11.8392331836098,3.1501998135433
453,1.02083333333333,1.74479166666667,0.649945442336651,2.50769538139833
