SubjectID,conjMeanRT,summMeanRT,conjStdRT,summStdRT
309,2.37989548725,1.67037996799991,0.48680088884392,0
311,2.21231036332432,2.21655147186111,0.471599025827992,0.52114694159968
402,2.07371176046153,2.15499853132146,0.428513431778601,0.520703411523909
403,2.4432164256428,2.18012587842308,0.366666153299431,0.479027835483833
405,2.54384510690911,2.54620449010524,0.336722543816808,0.276217205173038
406,2.12749180573078,2.32172962163638,0.499247169999555,0.428295101671725
407,2.19444590086359,2.24970697509521,0.474958384635366,0.541396011609618
408,2.20914257524143,2.28129337222585,0.395325042968952,0.461397457825341
410,2.23167773086218,2.2379064603183,0.546247678523946,0.48013498045049
411,2.01105000517027,2.13001300107321,0.45654118890254,0.4638188428179
412,2.25340771636848,2.05325080747824,0.432320386436146,0.553666021793625
413,2.36083698820001,2.2432316332703,0.336063613597756,0.41124955050062
414,2.03571313319556,1.98494638002182,0.452222747206375,0.447822520353841
415,1.87690558609536,1.89751153204649,0.466293088717885,0.512719534649174
417,1.61737799274999,1.74352992611363,0.507048708565353,0.621581030212848
418,2.09514100668289,2.15701122915788,0.423270956233522,0.412052398225983
419,1.99234362063639,2.12880953506893,0.436808834083351,0.503051009721789
421,2.02473232582503,2.02799339613953,0.35265774608244,0.419320081697385
422,1.90840458065119,1.89103586497563,0.499714585752286,0.480023366025032
428,2.1219699716304,2.13037305031792,0.375716131748707,0.42394169324082
429,2.1891078685001,2.25015919504878,0.50590649000586,0.409481613353174
430,2.38202315948485,2.30667097551613,0.434595119841826,0.483421690914477
431,2.23618621989477,2.18727684192308,0.453184354737509,0.534668693622934
432,2.28302507121427,2.13506397261536,0.49338902939361,0.512295066850245
433,2.19615825144004,2.01046397470833,0.439410041549186,0.456854484499872
434,2.02796841270257,2.01252341736836,0.5129669763037,0.456683418373031
435,2.09334565252276,2.17642226604447,0.530910648680536,0.447103578252725
436,2.12130022002713,2.27633521159506,0.45045225778581,0.480062145510094
437,2.11245711615625,2.3387521778649,0.410537358499092,0.432602194183883
438,2.11599032590478,2.18810019329413,0.4182500018463,0.486603990511198
439,2.18503121900001,2.02017156402563,0.47916724242479,0.656216832028077
440,1.6821674442857,1.75202299871426,0.545854681187281,0.538469424012948
441,2.02832152357447,2.10410566892858,0.415208423578264,0.354430628648213
444,2.4695073755556,2.40801324378947,0.393222973716086,0.412418974290038
445,2.14559299107142,2.26602260726662,0.563742929464218,0.469513360649586
446,1.89112353304348,2.03417837638298,0.403381229287315,0.411633789044235
447,2.09816935445162,2.23253891611539,0.39950947458739,0.438861976074783
448,2.07322816008098,2.23245197759452,0.489767988572219,0.495454079616362
449,2.3013576638529,2.44342062141362,0.417277756880261,0.411310480360001
450,2.33674965030556,2.31419872160716,0.456641337148058,0.500282810998373
452,2.20377996309981,2.2022809828333,0.718478706990757,0.295793729105945
453,1.93476037047743,1.94127917966685,0.546667163496817,0.59056229451501
