SubjectID,learnRtConj_block_1to5_1,learnRtConj_block_1to5_2,learnRtConj_block_1to5_3,learnRtConj_block_1to5_4,learnRtConj_block_1to5_5,learnRtSumm_block_1to5_1,learnRtSumm_block_1to5_2,learnRtSumm_block_1to5_3,learnRtSumm_block_1to5_4,learnRtSumm_block_1to5_5
309,3276.26858297299,3461.57444188834,2992.37741458395,2903.77868727794,2855.93368733235,3074.45579208373,2834.39721322288,2130.52590375022,1944.27585280512,2152.1502645818
311,2967.03222108408,3110.78467791675,3389.76379363844,3192.11615766593,2959.90598297067,2518.83590924869,2192.62818683435,2276.87315402808,2091.93765391845,1942.87477991586
402,3976.53519741713,3708.0939323896,3182.71280458329,2728.6606027507,2536.22570608382,2313.61645869543,1951.67878186092,1895.66814633367,1754.90285277819,1655.72209360996
403,3460.58348011112,3281.99013924998,3615.14681000001,3638.23249038887,3686.0330141667,2871.64982475,2653.05377086113,2337.91026477779,2497.62718861105,2676.97867475004
405,3150.47169636212,3542.45071263924,3243.78995958129,2889.19556511125,2887.97824852777,3885.46061166603,2303.17698011115,2194.80521888868,1902.91316344519,1782.21402313931
406,3721.48033308379,3806.06517950097,3636.83803577684,3197.56337244326,3329.31280822272,3106.72670294257,2276.74726361147,2221.88451113915,2035.86734297278,2321.36768347361
407,3323.12404916673,3734.14093661025,3446.92960839004,3240.37806641637,3050.90150205393,2435.85367455348,2594.95341094427,2286.29034360913,2285.23403494182,2394.31662016594
408,2411.92464271767,2449.25267135841,2994.66741566478,3044.55651102762,2692.04040863567,2787.47171011087,2448.37442402867,2343.46546497222,2202.64986789213,1964.95800852588
410,2927.84865383348,2697.58333666808,2746.39403799948,2619.0374546386,3014.08447338912,2050.94676847249,1948.6499086387,2116.89799197282,2218.24343319471,2282.49983630485
411,2276.68785227818,2150.27548380587,2808.71907238927,2826.07160983227,2612.19877699983,2256.19537138927,1858.1727623623,1870.46463397261,1771.70273080568,1755.28979838883
412,4285.54284139035,3688.78981708339,2896.54729644422,2957.61136616582,2668.65936580628,2133.26907961204,2296.45439258376,2437.45196636034,2244.7391657778,2252.00340436115
413,3057.76952324878,3452.96132136072,3065.97191285821,3046.5386503347,3170.59463324727,5010.52642319297,5008.69503741786,2254.82954030869,2192.40747952507,2275.36142394335
414,2753.65409783343,3176.10759291549,2711.35665522727,2686.59757572297,2681.78079375,3147.86657364069,2458.20642994173,2080.46577941746,1893.19304936038,1880.06390302811
415,2875.64420794499,3153.35463363671,2923.44009816588,2803.26373058536,2488.08225366843,3404.27762355183,1854.36521269407,1932.99941622212,1551.64668844453,1928.17439563724
417,2360.64216897163,2180.7602904446,2156.80970416644,2138.75131105568,2046.07556024975,1423.53414977778,1102.68161435993,1029.61687894478,1035.32724613878,1046.24671177751
418,5010.70737088836,3457.71628144414,3045.84739038708,2900.53833861142,2742.87906508188,2725.90751644424,1899.51352489233,1970.14721077802,1938.94749472383,1637.8747113906
419,5011.3584023889,4985.73564361221,5009.56581466744,5008.45811716944,5011.75429483636,2337.72009102783,2049.26540088895,1833.42740814179,2018.50179327772,1833.33382652927
421,3042.27844033352,3305.25386188896,3114.13998780553,3005.99436030542,2910.05245469458,3063.87482869443,2731.94071805559,2851.21095638907,2106.82756930565,2052.37091988895
422,2992.35501616663,3361.41019386105,3119.66952697195,3067.78049572237,3169.41759700002,2635.82908102762,2319.07941063875,2189.46380669442,1995.969909139,2220.52788333329
428,2894.62843269434,2676.29937291693,2752.98336847239,2407.54521136215,2568.47141616628,1990.05196608313,1949.82663033362,1726.62716811081,1739.75001199991,1633.48812213877
429,3405.52217680346,3275.32110847258,3661.83906144902,3429.28684621923,3432.14251766686,3164.88860175014,2352.46882436331,2382.55189733657,2412.54597533407,2454.0267438327
430,3512.0887214402,3268.31428892264,3271.05952619847,3488.4216500181,3386.34407478094,3433.75471074897,2659.12540036435,2486.20519132722,2721.19941500164,2579.13047257656
431,2523.9481918074,2396.78257458137,2203.63323886017,2153.89503522157,2171.96475694194,2259.06250611014,2651.35549205418,1998.71023744264,1970.50515352789,2119.62753233375
432,3438.02126508331,3738.3969086667,3741.77938305559,3504.78446455549,3822.78724011101,3767.91336663887,2991.07535733332,3019.57163713887,2879.63251486113,2570.80287586114
433,5009.32259752775,4022.54930861093,2640.5524768613,2482.64534461113,2425.2588632222,2464.13987386101,1992.85751508331,1761.96303138906,1767.29333586107,1582.70100902746
434,3536.08476322228,3091.615829,2664.26940141658,2589.99127383337,2428.0760336945,1846.98329522209,1705.63459677775,1691.96389330586,1674.4458800005,1601.61079458339
435,2632.05747072228,3386.3345684444,2970.88160063878,2689.98301266664,2831.26726830566,2023.73209538897,1864.96706669429,2054.09182780537,1717.65449030565,2070.73139563878
436,5010.6984043336,5010.02114313885,5008.88941013848,5009.72997083318,5011.29849608373,2647.74239827774,2635.38623077733,2098.96127597211,1740.21914224997,1749.68893636105
437,2901.89162583192,3061.13734366631,2880.51780308362,2818.26378222104,2870.57441550213,2810.21399266804,2328.57966300192,1956.40137647246,1770.09315858312,1752.56925188943
438,2766.17850694472,3135.80262327661,2808.81149108286,2560.24343511227,2372.12448355624,3347.98079911181,2937.70550264122,2222.53882049942,2186.75643911208,1927.329671361
439,3004.61137833473,2999.67300844461,2611.38253427756,2587.97580916831,3067.35264333313,3413.95297610951,2543.40402794535,2309.52864627883,2021.77432244409,1987.90949605447
440,2834.70214191685,2964.1901797505,2747.87743644346,1914.33730402948,2389.8964712777,2422.95561180516,2365.29589705565,1823.14529308375,1562.53945977894,1567.52027485992
441,5008.92999783375,5008.26107169592,5007.19435094409,2654.20267719391,2508.00220078114,1989.11568672095,1881.91498061133,1717.8818516683,1856.75179141536,1788.8266459704
444,2765.39826397331,3013.29928641967,2947.90426183398,2815.45948691443,2746.2978900884,2116.08729966408,2002.6741328038,1837.94516144553,1986.81114541816,2012.06987708509
445,4015.88546042007,3905.86550269331,3256.22499633755,2879.47208972198,2568.06458130773,5006.09252678098,2357.31371007892,2021.4613265311,3216.49381377776,2499.89432308212
446,2811.14850633215,2880.67058764055,2542.16365064187,2553.93171083415,2512.33270908091,2097.86753069865,2066.29821661368,1977.18662522271,1809.23838472437,1916.5153585798
447,3125.10439163695,3863.80611577705,3368.22085030225,2796.17483874932,3265.78980505373,4314.14945350358,2287.50419577409,2201.2851094397,1972.19137497531,1850.57983716656
448,3511.57913325086,3961.9695549433,3433.89812174751,3695.23171508222,3401.39474380622,5005.91586625443,2895.51412919213,2582.01058094387,2261.81741824823,2167.01049108572
449,4741.36321813896,3762.24462055527,3798.19265772251,3394.11813236155,3743.80881397236,2801.9865861663,2411.28109627789,2385.28371036187,2278.65352258313,2044.0632213055
450,3721.62234247177,3449.35636371762,3496.95989380739,2981.99406564042,3118.97878571957,2455.15685799829,2064.18851486039,2411.22964924337,2135.98664335506,2095.37952654904
452,2934.02760674995,3105.85904563892,2893.35130736117,3068.99781027778,3117.8157439444,2509.51230016669,2169.98405241672,2116.65000530565,1771.44110738886,1610.4348832223
453,3065.82957477793,2613.61535852767,2625.55210847202,2604.23528677802,2658.22070444422,2289.43275883325,1689.57538669449,1535.97825841674,1232.41418661099,1171.31863333341
